comuna_id,region_id,nombre,latitud,longitud
"252","11","Cholchol","-38.6067","-72.8429"
"253","11","Cunco","-38.9264","-72.0387"
"254","11","Curarrehue","-39.3513","-71.5718"
"255","11","Freire","-38.9286","-72.6102"
"256","11","Galvarino","-38.4596","-72.8027"
"257","11","Gorbea","-39.2095","-72.6738"
"258","11","Lautaro","-38.5323","-72.4223"
"259","11","Loncoche","-39.3592","-72.6247"
"260","11","Melipeuco","-38.8357","-71.7198"
"261","11","Nueva Imperial","-38.7579","-72.9453"
"262","11","Padre Las Casas","-38.7728","-72.586"
"263","11","Perquenco","-38.4152","-72.3882"
"264","11","Pitrufquén","-38.9899","-72.636"
"265","11","Pucón","-39.2936","-71.9646"
"266","11","Saavedra","-38.7908","-73.3927"
"267","11","Temuco","-38.7357","-72.6193"
"268","11","Teodoro Schmidt","-38.9674","-73.0382"
"269","11","Toltén","-39.194","-73.1726"
"271","11","Villarrica","-39.2969","-72.2297"
"272","11","Angol","-37.7948","-72.7254"
"273","11","Collipulli","-37.9486","-72.4365"
"274","11","Curacautín","-38.4344","-71.8793"
"275","11","Ercilla","-38.0806","-72.3769"
"276","11","Lonquimay","-38.4431","-71.3439"
"277","11","Los Sauces","-37.9709","-72.8396"
"278","11","Lumaco","-38.18","-72.9197"
"279","11","Purén","-38.0744","-73.0241"
"280","11","Renaico","-37.6826","-72.5826"
"281","11","Traiguén","-38.2451","-72.7345"
"282","11","Victoria","-38.2383","-72.3315"
"283","12","Corral","-39.8781","-73.432"
"284","12","Lanco","-39.4579","-72.7641"
"285","12","Los Lagos","-39.8613","-72.8137"
"286","12","Máfil","-39.6491","-72.9386"
"287","12","Mariquina","-39.5275","-73.0236"
"288","12","Paillaco","-40.0799","-72.8686"
"289","12","Panguipulli","-39.6443","-72.3276"
"290","12","Valdivia","-39.8781","-73.432"
"291","12","Futrono","-40.1295","-72.3806"
"292","12","La Unión","-40.2825","-73.0789"
"293","12","Lago Ranco","-40.3269","-72.4422"
"294","12","Río Bueno","-40.3531","-72.9455"
"295","13","Ancud","-41.8791","-73.8166"
"296","13","Castro","-42.4663","-73.7704"
